depth_cm,age_calBP,d18OcarbVPDB,d13CcarbVPDB
62.43,977.8,-5.24,4.69
62.53,981,-6.27,3.28
62.63,984.2,-5.53,4.47
62.73,987.4,-6.6,2.32
62.83,990.6,-5.31,4.5
62.93,993.8,-5.49,2.71
63.13,1000.2,-4.96,5.11
63.33,1006.6,-5.49,3.94
63.43,1009.8,-5.1,4.48
63.52,1012.6,-5.21,4.05
63.62,1015.8,-7.57,1.28
63.71,1018.7,-7.27,2.1
63.81,1021.9,-5.39,3.97
63.9,1024.8,-5.25,3.98
64,1028,-5.72,3.38
64.19,1034.1,-5.49,3.94
64.28,1037,-5.26,3.54
64.38,1040.2,-5.71,4.13
64.47,1043,-4.71,4.94
64.57,1046.2,-4.8,4.37
64.66,1049.1,-5.3,4.75
64.85,1055.2,-5.31,4.36
64.96,1058.7,-6.5,3.28
65.08,1064.2,-5.63,4.11
65.31,1076.1,-5,4.79
65.42,1081.8,-5.37,4.68
65.54,1088.1,-5.43,4.83
65.64,1093.3,-5.13,5.02
65.73,1098,-6.46,4.29
65.83,1103.2,-6.62,2.85
65.92,1107.8,-5.1,4.67
66.01,1112.5,-4.91,4.95
66.1,1117.2,-5.16,4.7
66.19,1121.9,-5.23,4.85
66.28,1126.6,-5.49,4.36
66.37,1131.2,-6.09,4.31
66.46,1135.9,-5.33,4.98
66.57,1141.6,-6.05,4.13
66.7,1148.4,-6.13,4.15
66.82,1154.6,-5.44,4.89
66.95,1161.4,-5.43,4.98
67.06,1167.1,-5.59,4.79
67.17,1172.8,-5.31,4.04
67.27,1178,-4.88,4.12
67.38,1183.8,-4.45,4.49
67.48,1189,-4.69,4.55
67.59,1194.7,-4.74,4.57
67.69,1199.9,-4.58,4.75
67.8,1205.6,-7.19,1.85
67.9,1210.8,-5.29,4.11
68,1216,-5.51,3.84
68.1,1221.2,-5.41,4.02
68.2,1226.4,-6.94,2.3
68.3,1231.6,-5.62,4.29
68.4,1236.8,-6.7,2.68
68.5,1242,-5.47,4.57
68.6,1247.2,-5.21,4.61
68.7,1252.4,-5.75,3.83
68.8,1257.6,-5.32,4.34
68.9,1262.8,-5.96,3.38
69,1268,-5.67,4.28
69.1,1273.2,-5.66,4
69.2,1278.4,-5.68,3.81
69.3,1283.6,-5.84,4.22
69.4,1288.8,-5.52,3.99
69.5,1294,-5.84,3.65
69.6,1299.2,-5.57,4.21
69.7,1304.4,-5.37,3.78
69.8,1309.6,-4.82,4.51
69.9,1314.8,-4.91,4.5
70,1320,-4.92,4.44
70.1,1325.2,-5.32,3.89
70.21,1330.9,-5.46,3.94
70.32,1336.6,-5.92,3.6
70.43,1342.4,-5.35,4.34
70.54,1348.1,-5.69,2.71
70.65,1353.8,-5.16,4.13
70.76,1359.5,-5.29,4.28
70.86,1364.7,-5.21,4.35
70.97,1370.4,-5.2,4.45
71.08,1376.1,-5.08,4.92
71.19,1381.7,-4.93,4.94
71.3,1387.3,-5.42,4.64
71.41,1392.9,-5.45,4.53
71.52,1398.5,-5.58,4.34
71.63,1404.1,-6.06,3.77
71.74,1409.7,-5.5,4.38
71.95,1420.5,-5.41,4.87
72.04,1425.1,-5.57,4.36
72.14,1430.3,-5.46,4.77
72.23,1435,-5.68,4.32
72.33,1440.2,-5.3,5.04
72.42,1444.8,-5.36,4.97
72.51,1449.5,-5.22,4.84
72.61,1454.7,-5.2,4.85
72.7,1459.4,-5.06,5.03
72.8,1464.6,-5.34,4.73
72.89,1469.3,-5.4,4.87
73.11,1479.3,-5.4,4.79
73.23,1484,-5.19,4.75
73.34,1488.3,-5.62,4.25
73.46,1492.9,-6.13,3.55
73.57,1497.2,-5.53,4.35
73.69,1501.9,-5.73,4.05
73.8,1506.2,-6.02,3.65
73.92,1510.9,-6.03,3.67
74.01,1514.3,-5.5,4.35
74.1,1516.6,-4.92,4.78
74.18,1518.7,-5.62,3.97
74.26,1520.8,-5.17,4.46
74.34,1522.8,-5.63,4
74.43,1525.2,-7.29,1.71
74.51,1527.3,-5.59,4.1
74.59,1529.3,-5.48,3.86
74.67,1531.4,-5.68,4.05
74.76,1533.8,-4.75,4.7
74.84,1535.8,-4.8,4.38
74.92,1537.9,-5.04,4.57
75,1540,-5.42,3.75
75.09,1542.3,-4.64,4.97
75.25,1546.5,-4.55,4.72
75.33,1548.6,-4.84,4.38
75.41,1550.7,-4.65,4.96
75.51,1553.3,-4.74,4.77
75.62,1556.1,-4.79,4.83
75.73,1559,-4.81,4.98
75.84,1561.8,-4.84,4.94
75.96,1565,-4.89,4.98
76.07,1567.8,-5.1,4.77
76.18,1570.7,-5.06,4.98
76.29,1573.5,-4.98,4.92
76.4,1576.4,-5.12,4.67
76.51,1579.3,-5.05,4.83
76.61,1581.9,-5.27,4.49
76.71,1584.5,-5.04,4.55
76.81,1587.1,-5.55,3.74
76.91,1589.7,-5.61,4.1
77.01,1592.3,-5.36,4.26
77.11,1594.9,-5.01,4.61
77.21,1597.5,-5.23,4.15
77.31,1600.1,-5.5,4.36
77.41,1602.7,-5.27,4.2
77.51,1605.3,-4.87,4.19
77.61,1607.9,-5.07,4.64
